Country,Year,Population,Food supply kcal per capita per day,FoodSupplyperyear
Antigua and Barbuda,Y1975,62671,2044.5342000000001,46768546039.593002
Antigua and Barbuda,Y1976,62353,2010.6489999999999,45760048940.404999
Antigua and Barbuda,Y1977,62162,1926.7399,43716052067.287003
Antigua and Barbuda,Y1978,62038,1888.3588,42759751180.556
Antigua and Barbuda,Y1979,61948,1999.9838999999999,45221675962.578003
Antigua and Barbuda,Y1980,61861,2230.3227999999999,50359049536.741997
Antigua and Barbuda,Y1981,61789,2316.7554,52249749784.869003
Antigua and Barbuda,Y1982,61780,2179.0059999999999,49135931598.199997
Antigua and Barbuda,Y1983,61779,2226.7114000000001,50210861306.918999
Antigua and Barbuda,Y1984,61784,2437.7831999999999,54974838988.512001
Antigua and Barbuda,Y1985,61785,2340.471,52781190268.275002
Antigua and Barbuda,Y1986,61754,2330.3751999999999,52527146386.792
Antigua and Barbuda,Y1987,61713,2313.2566000000002,52106671662.866997
Antigua and Barbuda,Y1988,61758,2411.5417000000002,54360177192.639
Antigua and Barbuda,Y1989,62007,2488.7190000000001,56326069647.044998
Antigua and Barbuda,Y1990,62533,2445.9724000000001,55828207112.557999
Antigua and Barbuda,Y1991,63363,2477.5342000000001,57299159822.829002
Antigua and Barbuda,Y1992,64459,2487.395,58522272921.324997
Antigua and Barbuda,Y1993,65777,2347.933,56370595963.464996
Antigua and Barbuda,Y1994,67201,2248.2550999999999,55146021705.911499
Antigua and Barbuda,Y1995,68672,2166.5889999999999,54306159929.919998
Antigua and Barbuda,Y1996,70176,2184.5075999999999,55954501948.223999
Antigua and Barbuda,Y1997,71707,2171.8380999999999,56843638042.3955
Antigua and Barbuda,Y1998,73219,2176.9758000000002,58179536751.572998
Antigua and Barbuda,Y1999,74674,2196.3200000000002,59862919883.199997
Antigua and Barbuda,Y2000,76007,2206.3757000000001,61210499207.913498
Antigua and Barbuda,Y2001,77212,2133.2824999999998,60120978062.349998
Antigua and Barbuda,Y2002,78298,2113.9749000000002,60414802452.873001
Antigua and Barbuda,Y2003,79311,2115.1037999999999,61229114080.857002
